date,Food,meats,pork,beef,poultry,eggs,egg,seafood,vegetable,fruit,dairy,milk,oils,FAFH
1982-10-01,42.72,55.08,,,,50.86,,25.19,18.74,27.71,52.2,,81.77,44.11
1982-11-01,41.75,54.72,,,,53.11,,25.16,15.76,25.79,52.32,,81.46,44.11
1982-12-01,42.06,54.67,,,,56.61,,25.7,17.17,25.24,52.37,,81.07,44.11
1983-01-01,41.91,54.69,,,,60.19,,25.84,15.28,26.06,52.41,,80.37,44.11
1983-02-01,42.72,54.22,,,,56.83,,26.89,18.75,27.13,52.42,,78.79,44.11
1983-03-01,43.34,53.27,,,,56.03,,26.09,22.95,28.06,52.34,,78.92,44.11
1983-04-01,44.0,53.05,,,,53.5,,25.8,23.9,30.2,52.3,,78.23,44.13
1983-05-01,43.19,52.78,,,,48.06,,25.52,19.95,31.3,52.37,,77.41,44.13
1983-06-01,43.99,52.94,,,,48.56,,25.31,26.62,29.75,52.35,,76.7,44.13
1983-07-01,42.75,52.67,,,,46.02,,24.93,23.75,27.52,52.46,,75.51,44.13
1983-08-01,42.64,53.1,,,,53.25,,25.06,22.72,26.82,52.64,,75.53,44.13
1983-09-01,42.84,53.23,,,,56.06,,25.06,22.74,27.39,52.64,,78.36,44.38
1983-10-01,42.67,53.12,,,,57.77,,25.23,23.54,25.49,52.65,,78.87,44.46
1983-11-01,41.75,51.52,,,,60.24,,25.29,21.59,23.41,52.7,,78.31,44.46
1983-12-01,40.31,50.63,,,,58.8,,25.27,14.32,22.75,52.73,,78.29,44.46
1984-01-01,40.35,50.31,,,,62.1,,25.06,13.63,23.27,52.76,,78.17,44.58
1984-02-01,41.16,50.09,,,,60.97,,25.36,15.47,24.49,52.81,,77.8,44.69
1984-03-01,41.52,49.58,,,,64.82,,24.75,15.54,24.98,52.8,,77.16,45.03
1984-04-01,41.65,49.79,,,,59.48,,24.85,16.23,24.52,52.81,,77.13,45.03
1984-05-01,42.76,50.64,,,,61.23,,25.03,20.68,24.43,52.86,,76.98,45.03
1984-06-01,42.62,50.66,,,,56.68,,25.0,21.49,24.28,52.9,,77.02,45.03
1984-07-01,42.0,50.8,,,,59.74,,24.72,20.27,23.51,52.89,,77.23,45.07
1984-08-01,42.36,50.71,,,,66.12,,24.54,21.5,24.85,52.91,,77.26,45.16
1984-09-01,42.4,50.33,,,,60.15,,24.03,22.59,25.66,52.92,,77.66,45.47
1984-10-01,41.86,49.24,,,,64.55,,23.75,19.45,27.36,52.92,,77.67,45.52
1984-11-01,41.22,48.23,,,,62.27,,24.11,16.92,26.64,52.93,,77.55,45.63
1984-12-01,40.73,45.33,,,,59.22,,24.22,16.61,26.63,52.94,,77.37,45.65
1985-01-01,40.74,44.69,,,,62.89,,24.48,15.8,27.47,52.99,,76.81,45.65
1985-02-01,41.48,45.79,,,,63.38,,25.14,17.16,28.7,53.26,,76.48,45.65
1985-03-01,41.65,46.21,,,,57.28,,25.45,17.7,28.98,53.38,,76.43,45.66
1985-04-01,41.16,46.22,,,,58.05,,25.52,15.74,28.38,53.42,,76.57,45.66
1985-05-01,40.94,45.42,,,,51.16,,25.47,16.11,29.27,53.44,,76.48,45.81
1985-06-01,40.74,43.48,,,,52.73,,25.2,19.49,27.21,53.46,,76.19,45.84
1985-07-01,40.81,41.84,,,,49.85,,24.72,23.0,27.1,53.46,,76.04,45.84
1985-08-01,40.45,41.74,,,,52.02,,24.7,21.59,26.69,53.46,,76.08,45.84
1985-09-01,41.83,42.06,,,,54.62,,24.87,28.0,27.04,53.44,,76.07,45.98
1985-10-01,41.58,41.95,,,,54.58,,25.0,27.76,26.05,53.42,,76.63,46.16
1985-11-01,40.03,41.97,,,,51.17,,24.56,21.39,23.85,53.42,,77.07,46.19
1985-12-01,38.95,41.7,,,,51.0,,24.25,16.36,23.08,53.45,,77.2,46.19
1986-01-01,39.47,41.7,,,,53.78,,24.73,16.5,24.64,53.68,,77.48,46.2
1986-02-01,39.84,42.71,,,,53.74,,25.48,16.65,25.11,53.74,,77.68,46.21
1986-03-01,40.27,43.39,,,,54.26,,25.03,17.93,26.08,53.77,,77.71,46.21
1986-04-01,40.72,44.36,,,,47.57,,25.43,18.86,27.11,54.32,,77.99,46.24
1986-05-01,41.4,49.63,,,,48.61,,24.97,19.17,26.36,54.29,,78.87,46.18
1986-06-01,41.67,49.26,,,,47.0,,24.41,21.44,25.99,55.24,,79.25,46.18
1986-07-01,41.42,48.77,,,,48.73,,24.13,21.63,25.2,55.44,,79.03,46.18
1986-08-01,42.13,48.78,,,,54.79,,25.4,24.74,24.21,55.63,,78.61,46.18
1986-09-01,44.99,50.53,,,,66.22,,26.3,34.75,26.41,55.57,,78.01,46.22
1986-10-01,44.62,50.56,,,,57.49,,26.13,31.62,27.41,55.31,,77.3,46.22
1986-11-01,42.82,50.56,,,,55.81,,25.85,22.54,27.49,55.25,,75.48,46.22
1986-12-01,42.27,50.95,,,,59.93,,25.68,19.21,27.78,55.17,,75.22,46.22
1987-01-01,41.85,49.8,,,,56.27,,25.98,17.79,27.81,54.52,,74.54,46.24
1987-02-01,41.78,48.94,,,,51.95,,26.1,17.97,28.07,54.04,,72.82,46.51
1987-03-01,41.12,46.36,,,,53.04,,25.77,17.5,27.43,54.07,,69.65,46.51
1987-04-01,41.5,45.96,,,,49.18,,25.82,20.82,26.41,54.01,,68.38,46.51
1987-05-01,41.37,45.89,,,,46.93,,25.94,20.44,26.53,54.03,,68.18,46.51
1987-06-01,41.48,46.47,,,,42.84,,25.87,21.02,27.1,53.98,,68.12,46.51
1987-07-01,42.89,46.92,,,,46.17,,25.58,28.41,27.01,53.93,,65.24,46.51
1987-08-01,43.93,47.85,,,,43.31,,25.22,32.69,28.03,53.91,,64.54,46.61
1987-09-01,43.59,47.89,,,,48.14,,26.04,29.03,29.07,53.89,,62.94,47.05
1987-10-01,42.31,47.5,,,,44.86,,25.67,23.98,28.46,53.9,,61.32,47.05
1987-11-01,42.32,46.4,,,,44.1,,26.44,25.3,26.92,53.8,,58.4,47.05
1987-12-01,43.48,46.53,,,,54.94,,26.06,30.65,26.45,53.74,,57.46,47.05
1988-01-01,41.88,46.18,,,,46.45,,26.13,23.5,26.13,53.62,,56.46,47.07
1988-02-01,41.46,45.92,,,,42.45,,27.9,20.43,26.44,53.4,,56.03,47.08
1988-03-01,41.03,44.37,,,,45.55,,27.41,18.48,27.83,53.18,,55.98,47.21
1988-04-01,41.1,43.67,,,,45.51,,27.85,19.57,27.41,53.04,,54.3,47.21
1988-05-01,42.13,44.56,,,,41.13,,28.01,20.92,30.89,53.05,,55.22,47.26
1988-06-01,42.84,46.19,,,,43.7,,28.26,23.63,29.92,52.94,,56.73,47.26
1988-07-01,42.65,47.21,,,,45.34,,27.27,24.9,27.24,52.54,,60.53,47.31
1988-08-01,44.36,48.76,,,,55.84,,27.1,30.99,27.27,52.46,,60.26,48.39
1988-09-01,44.44,48.87,,,,54.28,,26.54,30.14,29.02,52.43,,59.87,48.67
1988-10-01,45.03,48.06,,,,60.51,,26.59,32.5,29.97,52.37,,59.48,48.69
1988-11-01,44.09,47.91,,,,61.94,,26.69,27.12,30.5,51.39,,57.94,48.69
1988-12-01,43.78,48.46,,,,66.41,,26.93,23.65,30.97,51.6,,58.07,48.69
1989-01-01,43.31,48.65,,,,67.2,,27.43,19.91,31.43,50.75,,57.72,48.69
1989-02-01,44.4,49.41,,,,66.86,,28.29,22.9,32.6,50.92,,56.75,48.81
1989-03-01,44.67,49.21,,,,71.41,,28.09,23.82,32.5,51.38,,56.14,49.21
1989-04-01,45.38,51.09,,,,59.8,,28.21,25.41,33.07,53.17,,56.19,49.62
1989-05-01,45.98,51.29,,,,52.46,,28.38,25.76,35.06,53.86,,56.0,50.57
1989-06-01,45.12,51.03,,,,52.28,,28.43,25.17,31.84,53.82,,55.84,50.95
